At itteration 253 Test data , total error of 0.2038, Training Data, total error of 0.1964
At itteration 254 Test data , total error of 0.1904, Training Data, total error of 0.1832
At itteration 255 Test data , total error of 0.1904, Training Data, total error of 0.1828
At itteration 256 Test data , total error of 0.1904, Training Data, total error of 0.1828
At itteration 257 Test data , total error of 0.1904, Training Data, total error of 0.1828
At itteration 258 Test data , total error of 0.1904, Training Data, total error of 0.1828
At itteration 259 Test data , total error of 0.1904, Training Data, total error of 0.1828
At itteration 260 Test data , total error of 0.1904, Training Data, total error of 0.1828
At itteration 261 Test data , total error of 0.1856, Training Data, total error of 0.1788
At itteration 262 Test data , total error of 0.1904, Training Data, total error of 0.1828
At itteration 263 Test data , total error of 0.1846, Training Data, total error of 0.1766
At itteration 264 Test data , total error of 0.185, Training Data, total error of 0.1752
At itteration 265 Test data , total error of 0.1846, Training Data, total error of 0.1768
At itteration 266 Test data , total error of 0.185, Training Data, total error of 0.1754
At itteration 267 Test data , total error of 0.185, Training Data, total error of 0.1754
At itteration 268 Test data , total error of 0.185, Training Data, total error of 0.1754
At itteration 269 Test data , total error of 0.201, Training Data, total error of 0.1916
At itteration 270 Test data , total error of 0.206, Training Data, total error of 0.1966
At itteration 271 Test data , total error of 0.2064, Training Data, total error of 0.197
At itteration 272 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 273 Test data , total error of 0.2064, Training Data, total error of 0.197
At itteration 274 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 275 Test data , total error of 0.2018, Training Data, total error of 0.1896
At itteration 276 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 277 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 278 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 279 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 280 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 281 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 282 Test data , total error of 0.2064, Training Data, total error of 0.1964
At itteration 283 Test data , total error of 0.2064, Training Data, total error of 0.1966
At itteration 284 Test data , total error of 0.2064, Training Data, total error of 0.1964
At itteration 285 Test data , total error of 0.2064, Training Data, total error of 0.1964
At itteration 286 Test data , total error of 0.2064, Training Data, total error of 0.1964
At itteration 287 Test data , total error of 0.2064, Training Data, total error of 0.1964
At itteration 288 Test data , total error of 0.2064, Training Data, total error of 0.1964
At itteration 289 Test data , total error of 0.2064, Training Data, total error of 0.1964
At itteration 290 Test data , total error of 0.2066, Training Data, total error of 0.1964
At itteration 291 Test data , total error of 0.2064, Training Data, total error of 0.1964
At itteration 292 Test data , total error of 0.2066, Training Data, total error of 0.1964
At itteration 293 Test data , total error of 0.2066, Training Data, total error of 0.1964
At itteration 294 Test data , total error of 0.2066, Training Data, total error of 0.1964
At itteration 295 Test data , total error of 0.2066, Training Data, total error of 0.1964
At itteration 296 Test data , total error of 0.2094, Training Data, total error of 0.1986
At itteration 297 Test data , total error of 0.2094, Training Data, total error of 0.1986
At itteration 298 Test data , total error of 0.2094, Training Data, total error of 0.1986
At itteration 299 Test data , total error of 0.21, Training Data, total error of 0.2008
At itteration 300 Test data , total error of 0.2088, Training Data, total error of 0.1986
At itteration 301 Test data , total error of 0.209, Training Data, total error of 0.1986
At itteration 302 Test data , total error of 0.2094, Training Data, total error of 0.1988
At itteration 303 Test data , total error of 0.2066, Training Data, total error of 0.1966
